Mon message à logger: hello
[emergency] 2018-02-21 15:28:29	Mon message à logger: hello
[emergency]	2018-02-21 15:28:38	Mon message à logger: hello
[emergency]	2018-02-21 15:28:38	Mon message à logger: hello
[emergency]	2018-02-21 15:28:38	Mon message à logger: hello
[emergency]	2018-02-21 15:28:38	Mon message à logger: hello
[emergency]	2018-02-21 16:12:43	Mon message à logger: hello
[emergency]	2018-02-21 16:12:59	Mon message à logger: hello
[emergency]	2018-02-21 16:14:08	Mon message à logger: hello
[emergency]	2018-02-21 16:14:13	Mon message à logger: hello
[emergency]	2018-02-21 16:14:14	Mon message à logger: hello
[emergency]	2018-02-21 16:14:25	Mon message à logger: hello
[emergency]	2018-02-21 16:15:09	Mon message à logger: hello
[emergency]	2018-02-21 16:16:01	Mon message à logger: hello
[emergency]	2018-02-21 16:18:44	Mon message à logger: hello
[emergency]	2018-02-21 16:19:47	Mon message à logger: hello
[emergency]	2018-02-21 16:21:40	Mon message à logger: hello
[emergency]	2018-02-21 16:23:44	Mon message à logger: hello
[emergency]	2018-02-21 16:32:44	Mon message à logger: hello
[emergency]	2018-02-21 16:33:25	Mon message à logger: hello
[emergency]	2018-02-21 16:34:19	Mon message à logger: hello
[emergency]	2018-02-21 16:35:36	Mon message à logger: hello
[emergency]	2018-02-21 16:35:51	Mon message à logger: hello
